File ID,Words and Sentences,File ID,Words and Sentences
1165988_Alvila-Kalniesa-Klebaha-dienasgramatas.txt,"(123847, 16998)",1135846_Nezinama-viriesa-dienasgramata-ar-nosaukumu-Daba.txt,"(125, 14)"
1410929_Ligitas-Vucenas-dienasgramatas.txt,"(109955, 10611)",1214933_Celojums-pa-6-republikam-Dienasgramata.txt,"(23, 3)"
1636959_Rutas-Sleieres-dienasgramatas.txt,"(93267, 8314)",1135459_Paula-Alksna-pieraksti-un-darba-zurnali.txt,"(12, 3)"
1633500_Marijas-Berzinas-atminas.txt,"(64215, 3406)",1146801_Ulda-Kirsa-dzive-laukos-Tvitera-dienasgramata.txt,"(12, 1)"
1117608_Dainas-Rozenblates-Atminu-zimejumi.txt,"(59885, 4998)",1276664_Dienasgramata-Vecsetu-muizas-kases-gramata.txt,"(9, 1)"
1648999_Luizes-Griganes-dienasgramata.txt,"(57115, 4947)",1247401_Annas-Vagales-atminas.txt,"(7, 1)"
1846318_Katrines-Butenieces-dienasgramata-no-1904-lidz-1924-gadam.txt,"(56857, 3374)",1689421_Alidas-Kigules-vestules.txt,"(6, 1)"
1540385_Petera-Zarina-atminas.txt,"(54625, 3338)",1910061_Olgas-Veges-atminas.txt,"(4, 1)"
1268074_Veltas-Sproges-dienasgramata.txt,"(52980, 4877)",1133883_Augusta-Heinrihsona-dzivesstasts.txt,"(3, 1)"
1277288_Imanta-Freimana-dienasgramatas.txt,"(51799, 6030)",1247269_Alfreda-Krumina-dienasgramatas.txt,"(1, 1)"
